focus_group,pain_points,processed_text
DOCE Supervisors,Change in process – something changed where it no longer counted as closed case – sit open that appear – didn't force close violations,Change in process – something changed where it no longer counted as closed case – sit open that appear – didn't force close violations
DOCE Supervisors,No way to batch update cases,No way to batch update cases
DOCE Supervisors,"Muj: IPS – waiting on landlords and tenants to get ducks in a row and provide documentation, or if provided, getting it in piecemeal","Muj: IPS – waiting on landlords and tenants to get ducks in a row and provide documentation, or if provided, getting it in piecemeal"
DOCE Supervisors,Front-loading information on citywebsite and camino did help,Front-loading information on citywebsite and camino did help
DOCE Supervisors,Sending phone screenshots of documents frustrating,Sending phone screenshots of documents frustrating
DOCE Supervisors,As far as input - happy generally,As far as input - happy generally
DOCE Supervisors,Ryan: Requests certain reports – linking violations across properties,Ryan: Requests certain reports – linking violations across properties
DOCE Supervisors,Can’t access directly from within the system,Can’t access directly from within the system
DOCE Supervisors,Researching in general – would be nice to do on the spot,Researching in general – would be nice to do on the spot
DOCE Supervisors,Analyze properties or cases /owners,Analyze properties or cases /owners
DOCE Supervisors,Look at historical or recent behavior,Look at historical or recent behavior
DOCE Supervisors,Big apartment comlexes – hard to go thrugh a Nob Hill – 4 addresses and dozens of cases,Big apartment comlexes – hard to go thrugh a Nob Hill – 4 addresses and dozens of cases
DOCE Supervisors,Finding things,Finding things
DOCE Supervisors,"Too many systems needed – tadxes, water, zoning history, onbas, as400, micrfige (historucal data)","Too many systems needed – tadxes, water, zoning history, onbas, as400, micrfige (historucal data)"
DOCE Supervisors,Missing information – records missing or unclear why wedon’t have it,Missing information – records missing or unclear why wedon’t have it
DOCE Supervisors,Data and historical info not digital or in one place -,Data and historical info not digital or in one place -
DOCE Supervisors,Technology Drop-down selection,Technology Drop-down selection
DOCE Supervisors,Dropbox feature for getting documents,Dropbox feature for getting documents
DOCE Supervisors,Foundational – connection to enterprise GIS at county,Foundational – connection to enterprise GIS at county
DOCE Supervisors,Legal basis for CE process – parcel based,Legal basis for CE process – parcel based
DOCE Supervisors,Has to be at the beginning/foundational,Has to be at the beginning/foundational
DOCE Supervisors,AI – has to be in there somehow,AI – has to be in there somehow
DOCE Supervisors,Will always need humans to inspect and review,Will always need humans to inspect and review
DOCE Supervisors,Drones? Makes a lot of sense,Drones? Makes a lot of sense
DOCE Supervisors,Ticket scanner for setouts,Ticket scanner for setouts
DOCE Supervisors,"Bill: Likes that everything is one place – has the caseload builds, volume becomes tougher to manage","Bill: Likes that everything is one place – has the caseload builds, volume becomes tougher to manage"
DOCE Supervisors,"Tom: ease of use, simple to train on and use","Tom: ease of use, simple to train on and use"
DOCE Supervisors,Ryan: Camino not user friendly for case management,Ryan: Camino not user friendly for case management
DOCE Supervisors,"If one mistake made, lost in the abyss","If one mistake made, lost in the abyss"
DOCE Supervisors,"Jake: doesn’t like that it’s on-prem – needs an app – use on field in various devices, version that work on all of it","Jake: doesn’t like that it’s on-prem – needs an app – use on field in various devices, version that work on all of it"
DOCE Supervisors,Needs to be user-friendly – Camino is an app but not user friendly – mostly the mobile view,Needs to be user-friendly – Camino is an app but not user friendly – mostly the mobile view
DOCE Supervisors,Camino: Large project – hard to find all related permits,Camino: Large project – hard to find all related permits
DOCE Supervisors,Parcel can’t see everything under it,Parcel can’t see everything under it
DOCE Supervisors,Can’t find under a specific address if it was resubbed in Camino,Can’t find under a specific address if it was resubbed in Camino
DOCE Supervisors,Under demolitions in Camino – close search part to pull up building permits,Under demolitions in Camino – close search part to pull up building permits
DOCE Supervisors,"In IPS would see zoning, demolition permit in one area see where we split parcels","In IPS would see zoning, demolition permit in one area see where we split parcels"
DOCE Supervisors,Major issues for contractors - applications,Major issues for contractors - applications
DOCE Supervisors,Not enough information getting added and permits getting issued,Not enough information getting added and permits getting issued
DOCE Supervisors,Imposters pull permit under another license – because they have the license number – under their personal Camino account,Imposters pull permit under another license – because they have the license number – under their personal Camino account
DOCE Supervisors,Need to licensed contractor on permit,Need to licensed contractor on permit
DOCE Supervisors,Needs: Case management for managers and individual users,Needs: Case management for managers and individual users
DOCE Supervisors,Mobile version,Mobile version
